Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
La Pampa,2017,1,0.0,0.0,83364
La Pampa,2017,2,-1.7093709514898525,-1.7093709514898525,81939
La Pampa,2017,3,1.0629858797398084,1.0629858797398084,82810
La Pampa,2017,4,0.6690013283419782,0.6690013283419782,83364
La Pampa,2018,1,-9.71042656302481,-9.71042656302481,75269
La Pampa,2018,2,0.5779271678911568,0.5779271678911568,75704
La Pampa,2018,3,0.005283736658556748,0.005283736658556748,75708
La Pampa,2018,4,0.993290008981873,0.993290008981873,76460
La Pampa,2019,1,-13.828145435521844,-13.828145435521844,65887
La Pampa,2019,2,8.26414922518859,8.26414922518859,71332
La Pampa,2019,3,-10.595525150002805,-10.595525150002805,63774
La Pampa,2019,4,11.851224636999413,11.851224636999413,71332
La Pampa,2020,1,-0.8397353221555548,-0.8397353221555548,70733
La Pampa,2020,2,-0.14844556289144162,-0.14844556289144162,70628
La Pampa,2020,3,-0.13025995355949727,-0.13025995355949727,70536
La Pampa,2020,4,0.13042985142339703,0.13042985142339703,70628
La Pampa,2021,1,0.7419153876649487,0.7419153876649487,71152
La Pampa,2021,2,0.8418596806835987,0.8418596806835987,71751
La Pampa,2021,3,-0.03205530236511933,-0.03205530236511933,71728
La Pampa,2021,4,0.0320655810841064,0.0320655810841064,71751
La Pampa,2022,1,0.419506348343579,0.419506348343579,72052
La Rioja,2014,1,,,39625
La Rioja,2014,2,-0.381072555205042,-0.381072555205042,39474
La Rioja,2014,3,-0.25586461974971275,-0.25586461974971275,39373
La Rioja,2014,4,-0.535900236202469,-0.535900236202469,39162
La Rioja,2015,1,-0.6639088912721469,-0.6639088912721469,38902
La Rioja,2015,2,0.0025705619248306277,0.0025705619248306277,38903
La Rioja,2015,3,-0.6477649538595975,-0.6477649538595975,38651
La Rioja,2015,4,-0.1992186489353398,-0.1992186489353398,38574
La Rioja,2016,1,-2.084305490745064,-2.084305490745064,37770
La Rioja,2016,2,0.26211278792691584,0.26211278792691584,37869
La Rioja,2016,3,0.3828989410863848,0.3828989410863848,38014
La Rioja,2016,4,-0.6418687851844074,-0.6418687851844074,37770
La Rioja,2017,1,0.0,0.0,37770
La Rioja,2017,2,0.26211278792691584,0.26211278792691584,37869
La Rioja,2017,3,0.3828989410863848,0.3828989410863848,38014
La Rioja,2017,4,-0.6418687851844074,-0.6418687851844074,37770
La Rioja,2018,1,-4.739211014032296,-4.739211014032296,35980
La Rioja,2018,2,-2.2512506948304645,-2.2512506948304645,35170
La Rioja,2018,3,-1.754336081887975,-1.754336081887975,34553
La Rioja,2018,4,-1.9940381443000588,-1.9940381443000588,33864
La Rioja,2019,1,-3.0533900307110784,-3.0533900307110784,32830
La Rioja,2019,2,-13.649101431617428,-13.649101431617428,28349
La Rioja,2019,3,4.225898620762636,4.225898620762636,29547
La Rioja,2019,4,-4.054557146241578,-4.054557146241578,28349
La Rioja,2020,1,-4.479875833362734,-4.479875833362734,27079
La Rioja,2020,2,8.224085084382725,8.224085084382725,29306
La Rioja,2020,3,0.3344025114311089,0.3344025114311089,29404
La Rioja,2020,4,-0.33328798802884085,-0.33328798802884085,29306
La Rioja,2021,1,-17.23879069132601,-17.23879069132601,24254
La Rioja,2021,2,10.352931475220583,10.352931475220583,26765
La Rioja,2021,3,-19.24528301886792,-19.24528301886792,21614
La Rioja,2021,4,23.83177570093458,23.83177570093458,26765
La Rioja,2022,1,2.761068559686164,2.761068559686164,27504
Mendoza,2014,1,,,320413
Mendoza,2014,2,-0.019350026372211282,-0.019350026372211282,320351
Mendoza,2014,3,-0.03839538506200668,-0.03839538506200668,320228
Mendoza,2014,4,2.313039459385191,2.313039459385191,327635
Mendoza,2015,1,3.497184366749595,3.497184366749595,339093
Mendoza,2015,2,3.312660538554324,3.312660538554324,350326
Mendoza,2015,3,2.297003362582273,2.297003362582273,358373
Mendoza,2015,4,0.7776813543431071,0.7776813543431071,361160
Mendoza,2016,1,5.526082622660322,5.526082622660322,381118
Mendoza,2016,2,-2.8985773434999085,-2.8985773434999085,370071
Mendoza,2016,3,2.0893288044726566,2.0893288044726566,377803
Mendoza,2016,4,0.8774414178817969,0.8774414178817969,381118
Mendoza,2017,1,0.0,0.0,381118
Mendoza,2017,2,-2.8985773434999085,-2.8985773434999085,370071
Mendoza,2017,3,2.0893288044726566,2.0893288044726566,377803
Mendoza,2017,4,0.8774414178817969,0.8774414178817969,381118
Mendoza,2018,1,-5.430863931905606,-5.430863931905606,360420
Mendoza,2018,2,0.009155984684539042,0.009155984684539042,360453
Mendoza,2018,3,0.0016645720801289343,0.0016645720801289343,360459
Mendoza,2018,4,0.06602692677946109,0.06602692677946109,360697
Mendoza,2019,1,-33.183253534129754,-33.183253534129754,241006
Mendoza,2019,2,-9.271553405309408,-9.271553405309408,218661
Mendoza,2019,3,3.204503775250278,3.204503775250278,225668
Mendoza,2019,4,-3.105003810908058,-3.105003810908058,218661
Mendoza,2020,1,-3.629362346280318,-3.629362346280318,210725
Mendoza,2020,2,-6.8036540514889055,-6.8036540514889055,196388
Mendoza,2020,3,-0.0025459804061322977,-0.0025459804061322977,196383
Mendoza,2020,4,0.0025460452279579826,0.0025460452279579826,196388
Mendoza,2021,1,-0.03717131392956263,-0.03717131392956263,196315
Mendoza,2021,2,4.180526195145551,4.180526195145551,204522
Mendoza,2021,3,-4.15309844417715,-4.15309844417715,196028
