Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Misiones,2021,2,45.01,4.26221913365763
Misiones,2021,3,45.57,1.244167962674969
Misiones,2021,4,49.06,7.65854728988371
Misiones,2022,1,49.04,-0.040766408479420146
Neuquén,2014,1,49.79,
Neuquén,2014,2,50.84,2.10885720024101
Neuquén,2014,3,56.4,10.93627065302909
Neuquén,2014,4,52.55,-6.8262411347517755
Neuquén,2015,1,51.95,-1.1417697431017948
Neuquén,2015,2,53.12,2.252165543792106
Neuquén,2015,3,54.6,2.7861445783132543
Neuquén,2015,4,58.29,6.758241758241756
Neuquén,2016,1,55.75,-4.357522731171725
Neuquén,2016,2,59.1,6.008968609865484
Neuquén,2016,3,60.21,1.878172588832494
Neuquén,2016,4,60.87,1.0961634280019839
Neuquén,2017,1,61.02,0.2464268112370771
Neuquén,2017,2,61.91,1.4585381842018963
Neuquén,2017,3,60.83,-1.744467775803582
Neuquén,2017,4,61.24,0.6740095347690378
Neuquén,2018,1,61.52,0.4572175048987548
Neuquén,2018,2,60.24,-2.080624187256175
Neuquén,2018,3,60.49,0.41500664010625243
Neuquén,2018,4,59.07,-2.347495453794013
Neuquén,2019,1,58.88,-0.3216522769595387
Neuquén,2019,2,63.08,7.133152173913038
Neuquén,2019,3,64.14,1.6804058338617756
Neuquén,2019,4,59.36,-7.452447770502024
Neuquén,2020,1,61.85,4.194743935309986
Neuquén,2020,2,63.9,3.3144704931285407
Neuquén,2020,3,65.24,2.0970266040688523
Neuquén,2020,4,67.0,2.6977314530962637
Neuquén,2021,1,66.84,-0.23880597014924732
Neuquén,2021,2,69.14,3.441053261520044
Neuquén,2021,3,69.71,0.8244142319930425
Neuquén,2021,4,73.3,5.149906756562905
Neuquén,2022,1,74.17,1.1869031377899075
Río Negro,2014,1,44.91,
Río Negro,2014,2,45.33,0.9352037408149716
Río Negro,2014,3,46.2,1.9192587690271434
Río Negro,2014,4,45.48,-1.55844155844157
Río Negro,2015,1,45.33,-0.32981530343008103
Río Negro,2015,2,45.98,1.4339289653650944
